ID,Price,Price per sqm,Rooms,Area_total,Kitchen_area,Storeys,District ID,Latitude,Longitude,Construction Type,Renovation State,Construction Year,Log_Price,Log_Price per sqm,balcony,bathroom_num,wardrobe,view,furnished,appliances,floor_heating,air_conditioning,parking,security_features,renovation_quality,distance_to_nearest_metro_stations_m,sports_centers_count,supermarkets_count,schools_count,kindergartens_count,cafes_restaurants_count,public_transport_count,distance_to_nearest_woods_parks_m,distance_to_nearest_water_reservoirs_m,Floor
1846640995.0,2914538.0,45551.0,1.0,64.0,18.0,25.0,10026800,50.376064,30.540911,монолітно-каркасний,з ремонтом,2008.0,14.885222217747229,10.726609809517818,False,1.0,True,False,True,True,True,False,False,False,5.0,3192.1,1,2,0,2,3,2,214.2,356.6,22
1908757932.0,5620894.0,61081.0,3.0,92.0,12.0,24.0,10026800,50.375561495825934,30.54185750796876,монолітно-каркасний,з ремонтом,2009.0,15.542001461859552,11.019972502738868,True,2.0,False,True,False,False,False,False,False,False,3.0,3214.3,1,1,1,2,2,1,208.1,375.0,19
1902533750.0,3580718.0,44635.0,2.0,80.2,11.6,25.0,10026800,50.37833478228433,30.540408389642835,утеплена панель,з ремонтом,2014.0,15.09107417620046,10.706295987305593,True,2.0,True,False,True,True,False,True,True,True,4.0,2983.4,0,2,0,1,3,2,249.6,240.7,24
1778665799.0,2456539.0,48174.0,1.0,51.0,12.0,25.0,10026800,50.38209639910575,30.54050994912461,панельні,з ремонтом,2019.0,14.714264413788207,10.782595493282567,True,1.0,False,True,False,True,False,False,False,False,2.0,2619.1,0,0,0,0,0,0,143.1,441.3,19
1726124181.0,1207452.0,31103.0,1.0,38.8,13.6,23.0,10026800,50.376325,30.540141,монолітно-каркасний,без ремонту,2010.4,14.004023740355883,10.345091707260163,False,1.0,False,True,False,False,False,False,False,False,3.0,3190.3,1,2,0,1,3,2,249.0,368.8,17
1005653909.0,3955444.0,43011.0,3.0,92.0,11.2,24.0,10026800,50.376064,30.540911,монолітно-каркасний,з ремонтом,2013.0,15.190603668657245,10.669234425510416,False,1.0,False,True,True,True,False,False,False,False,5.0,3192.1,1,2,0,2,3,2,214.2,356.6,8
1980451746.0,3539082.0,41637.0,2.0,85.0,13.0,23.0,10026800,50.377263,30.539058,монолітно-каркасний,з ремонтом,2008.0,15.079378212005397,10.63676849083572,True,1.0,True,True,True,True,False,False,False,False,5.0,3128.4,1,3,0,1,3,3,308.6,370.0,22
1482457382.0,2452376.0,37140.0,3.0,66.0,7.2,10.0,10026800,50.388614,30.548218,цегляний будинок,з ремонтом,1998.0,14.712568316258755,10.52247675969231,True,1.0,False,False,True,True,False,False,False,False,4.0,1714.4,0,0,0,0,0,0,654.8,1340.1,1
1941193144.0,3497445.0,47924.0,2.0,73.0,12.0,24.0,10026800,50.37833478228433,30.540408389642835,панельні,з ремонтом,2015.5,15.067543545802868,10.777392567913845,False,1.0,False,False,False,False,False,False,False,False,2.0,2983.4,0,2,0,1,3,2,249.6,240.7,1
1875529363.0,2081813.0,69866.0,1.0,29.8,13.0,27.0,10026800,50.378238,30.541067,монолітно-каркасний,з ремонтом,2021.0,14.548750186990455,11.1543487137419,False,1.0,False,False,False,False,False,False,True,True,1.0,2970.9,0,2,0,1,3,2,204.7,197.3,27
1692645353.0,2956174.0,31436.0,3.0,94.0,12.0,25.0,10026800,50.38209639910575,30.54050994912461,монолітно-каркасний,без ремонту,2012.25,14.899406760921698,10.355740822143051,True,1.0,False,True,False,False,False,False,True,True,2.0,2619.1,0,0,0,0,0,0,143.1,441.3,9
1909257040.0,4163625.0,54794.0,2.0,76.0,12.0,25.0,10026800,50.379524,30.53651,панельні,з ремонтом,2008.36,15.241896887199976,10.911354227897492,False,1.0,True,False,True,True,True,True,False,False,4.0,2822.6,0,3,0,1,3,5,324.5,522.3,17
1672963763.0,1124179.0,55377.0,1.0,20.3,5.0,22.0,10026800,50.376064,30.540911,монолітно-каркасний,з ремонтом,2010.1666666666667,13.93256443896311,10.9219376819522,False,1.0,True,True,False,False,False,True,False,False,5.0,3192.1,1,2,0,2,3,2,214.2,356.6,20
1304165585.0,5204532.0,52587.0,3.0,99.0,11.5,25.0,10026800,50.376064,30.540911,утеплена панель,з ремонтом,2014.0,15.465040534584288,10.870243235816496,False,1.0,True,False,True,True,False,False,True,True,5.0,3192.1,1,2,0,2,3,2,214.2,356.6,6
